category,text
Economy,"
تحليل بازار 
سرعت گرفتن تحولات جنوب شرق آسيا 
عليرضا عصاريان 
هفته اي كه گذشت جنوب شرق آسيا شاهد تحولات اقتصادي چشمگيري بود. به دنبال اظهارات دو 
ماه پيش هاروهيكو كورودا، ديپلمات اقتصادي ارشد ژاپني كه از احتمال ايجاد حوزه رواج ارز 
واحد آسياي جنوب شرقي، حيطه اي كه از حوزه رواج يورو در اتحاديه اروپا گرته برداري 
خواهد شد، خبر داده بود. در روزهاي مياني هفته گذشته دبيرخانه آسه آن از آغاز 
گفت وگوهاي ده كشور عضو اتحاديه كشورهاي جنوب شرق آسيا - اقيانوسيه و چين براي ايجاد 
منطقه آزاد تجاري بين كشورهاي عضو خبر داد كه در صورت تحقق اين هدف، خلق بزرگترين بازار 
آزاد سراسر جهان رقم خواهد خورد. 
طي روزهاي اخير ژاپني ها بار ديگر پيشنهادات خود را در مورد ايجاد حيطه رواج ارز مشترك 
در جنوب شرق آسيا پيگيري كردند. آنان ادعا دارند كه رواج ارز مشترك مراحل سخت تبديل 
ارزها را حذف كرده و از وقوع بحران اقتصادي ديگري به سان آنچه در سال 1997 رخ داد و 
منطقه را با مشكلات زيادي مواجه كرد، جلوگيري مي كند. علاوه بر تسهيل روند تبديل ارزها 
تمهيدات ديگري مثل افزايش شناوري ارزمشترك در صندوق بين المللي پول از ديگر تاثيرات 
ايجاد ارز مشترك است. 
كورودا در گفت وگويي با شبكه خبري بي بي سي ادعا كرد در سايه تجربياتي كه بحران ارزي 
آسيا به ما آموخت، با توجه به اينكه بحران به سرعت به كشورهاي همسايه تسري پيدا كرد و 
همكاري هاي مالي منطقه اي يكي از راهكارهاي منطقي براي جلوگيري از حدوث مجدد چنين 
بحران هايي ژاپني ها است با اشاره به معاهده به امضا رسيده، بين چين و شش كشور آسياي 
جنوب شرقي كه در آن تبديل ارزها بين اين كشورها مستقيما صورت خواهد گرفت مي گويند اين 
قرارداد نيز نمي تواند در صورت بروز بحران كارساز باشد. 
يكي از معدود نشانه هايي كه از اهتمام زمامداران كشورهاي آسياي جنوب شرقي براي جلوگيري 
از تكرار بحران مالي 1997 حكايت دارد آمده: يكي از راهكارهاي جلوگيري از بازگشت آن 
بحران تحقق روياي تشكيل منطقه آزاد تجاري در جنوب شرق آسياست كه در صورت پيوستن چين به 
اين منطقه به بزرگترين منطقه آزاد تجارت جهان تبديل خواهد شد. قرار است گفت وگوهاي چين 
و نمايندگان آسه آن اواسط هفته آينده برگزار شود. دور قبلي اين گفت وگوها كه اواسط ماه 
مه برگزار شد بي آنكه به نتيجه قابل قبولي منتج شود پايان يافت. بر اساس طرح پيشنهادي 
آسه آن اين بازار آزاد طي ده سال به مرحله اجرا درخواهد آمد. 
پيش از اين كشورهاي عضو آسه آن يعني برونئي، اندونزي، لائوس، كامبوج، مالزي، ميانمار، 
 فيليپين، سنگاپور، تايلند و ويتنام توافق خود را با تشكيل بازار آزاد اقتصادي در بين 
كشورهاي عضو اعلام داشته بودند. همزمان با تلاش هاي آسه آن براي ترغيب چين به پيوستن به 
قرارداد تشكيل منطقه آزاد تجاري، وزير امور خارجه سنگاپور از دريافت نامه اي رسمي از 
سوي مقامات اقتصادي ارشد تايوان خبر داد كه در آن پيوستن تايوان به منطقه آزادي تجاري 
پيشنهاد شده كوچوك بود تونگ نخست وزير سنگاپور با اشاره به نامه تايواني ها تاكيد كرد 
كشورهاي عضو، بررسي اين پيشنهاد را آغاز كرده اند تا امكان عملي كردن اين برنامه را 
مورد بررسي قرار دهند. همين يك ماه پيش بود كه صندوق بين المللي پول اعلام داشت 
پيش بيني هاي خود را براي رشد اقتصادي منطقه جنوب شرق آسيا ملغي خواهد كرد چرا كه به 
رغم پيش بيني هاي تحليلگران اقتصادي IMF رشد بي سابقه و دور از انتظار صادرات و افزايش 
ميزان مصرف داخلي در كشورهاي منطقه دورنماي بهبود شرايط اقتصادي را در اين كشورها و 
خصوصا كره جنوبي ترسيم كرده است. 
چارلز آدامز معاون امور آسيا، اقيانوسيه صندوق بين المللي پول در گفت وگويي با نشريه 
بزنس ويك ضمن صحه گذاشتن بر تصميم ماه قبل IMF براي الغاي پيش بيني هاي قبلي در مورد 
نرخ رشد كشورهاي جنوب شرق آسيا اعلام كرد /5درصدي 9نرخ تعيين شده براي كشورهاي در حال 
توسعه طي سال 2002 و /3درصدي 9نرخ در نظر گرفته شده براي كشورهايي كه در آغاز راه توسعه 
هستند صائب به نظر نمي رسد. او در اظهاراتش ادعا كرد به احتمال زياد نرخ رشد اقتصادي 
كشورهاي عضو آسه آن به جرات بيشتر از پيش بيني هاي قبلي خواهد بود. پيش بيني هاي رشد 
اقتصادي IMF در شماره ماه مه نشريه اقتصادي outLook به چاپ رسيده بود كه به بررسي نرخ 
رشد كشورهاي عضو آسه آن در سال هاي 2002 و 2003 پرداخته آدامز بود ادعا كرد در بين نرخ 
رشدهاي تعيين شده احتمالا نرخ رشد 5 درصدي در نظر گرفته شده براي كره شمالي بيش از ساير 
پيش بيني ها از واقعيات فاصله خواهد داشت و گمان مي رود نرخ رشد اين كشور در سالجاري 
ميلادي به حدود شش درصدبالغ شود. بر اساس گزارشات منتشر شده در مورد شرايط اقتصادي كره 
جنوبي آمده كه اين كشور با روندي بسيار سريعتر از آنچه گمان مي رفت در حال خروج از ركود 
و اثرات بحران مالي 1997 است و درمورد اين كشور خاص به نظر مي رسد ميزان تقاضاي داخل 
بسيار بالاتر از آن چيزي است كه گمان مي رفت: صندوق بين المللي پول چهار كشور كره جنوبي، 
 هنگ كنگ، سنگاپور و تايوان را تحت عنوان كشورهاي جديدا صنعتي شده دسته بندي مي كند و 
ژاپن به عنوان تنها كشور توسعه يافته جنوب شرق آسيا تنها كشوري بود كه IMF اعتقاد دارد 
نرخ رشدش از پيش بيني هاي صورت گرفته براي سال 2002 فراتر نخواهد رفت. 
"
Economy,"
افزايش بي سابقه مازاد تجاري فرانسه و 
ايجاد مشاغل تازه 
. واحد رسانه هاي خارجي همشهري: ميزان مازاد تجاري فرانسه در ماه اوت 
 ( مرداد 11 تا 10 شهريور ) به رقم غيرقابل /13 9پيش بيني ميليارد فرانك 
 (/ميليون 2 دلار ) رسيد. 
به گزارش خبرگزاري ژاك فرانسه، شيراك رئيس جمهوري اين كشور ضمن 
اعلام اين مطلب گفت: اكنون من آمار مازاد تجارت خارجي فرانسه 
رابراي ماه اوت دريافت كرده ام كه /13ميليارد 9به فرانك بالغ 
مي شود و بزرگترين مازاد از زماني است كه آمارهاي تجارت خارجي فرانسه 
جمع آوري شده است. 
وي افزود: مازاد ميليارد 70تجاري فرانكي به مفهوم ايجادهزار 250 
شغل جديد در فرانسه است. 
"
Economy,"
تغييرات شاخص هاي اقتصادي در سال 30فاصله 
( ) 801350 
قيمت هابرابرتوليد 178 ناخالص داخلي برابر; حجم 838 نقدينگي برابر 1081 
دلايل تصميم دولت براي انتشار اسكناس دوهزار توماني از سوي يك مقام مسوول در وزارت 
امور اقتصادي و دارايي اعلام شد. 
به گزارش خبرنگار ما محمد خزاعي ترشيزي كه با شبكه خبر سيما گفت وگو مي كرد، اظهار 
 داشت: به دلايلي خاص انتشار قطع جديدي از اسكناس در مقطع فعلي ضرورت پيدا كرده است. 
براين اساس بدون آن كه در حجم اسكناس موجوددر جامعه تغييري حاصل شود اسكناس جديد 
دو هزار توماني در اقتصاد ايران معرفي خواهدشد. 
وي با منتفي دانستن پيامدهاي تورمي ناشي از انتشار اسكناس دو هزار توماني گفت: 
انتشار يك قطع جديد اسكناس به افزايش حجم نقدينگي منتهي نخواهد شد بنابراين 
نمي تواند تورم زا باشد. 
خزاعي افزود: تورم به عنوان يك پديده در اقتصاد، علت هاي خاص خود را دارد براين 
مبنا در پرتو تحولات پولي هنگامي فشارهاي تورمي ايجاد مي شود كه حجم نقدينگي 
افزايش يافته باشد. 
وي گفت: درحال حاضر حدود 9 درصد از كل كيك نقدينگي در كشور ما به اسكناس مسكوك 
اختصاص دارد بنابراين اسكناس مسكوك بخش كمي از نقدينگي موجود در جامعه را شامل 
مي شود كه اين امر به عادات اجتماعي مردم بستگي دارد. اين كه مردم دوست دارند چه 
حجم از نقدينگي خود را به شكل اسكناس مسكوك نگهداري و چه مقدار را در حسابهاي 
بانكي پس انداز كنند تاثير مستقيمي بر افزايش ياكاهش رقم يادشده دارد. 
وي با اشاره به اين كه از ديدگاه پولي رشد نقدينگي مهمترين عامل تورم است افزود: 
در طول سال هاي اخير بنا به دلايل خاص شاهد نرخ رشد دو رقمي براي حجم نقدينگي 
بوده ايم درحالي كه در سوي ديگر قضيه و در بخش واقعي اقتصاد رشد توليد تا اين حد 
نبوده است در چنين شرايطي وقتي ما به ازاي ريالي كالاها افزايش مي يابد به طور 
طبيعي سطح عمومي قيمت ها هم با رشد مواجه مي شود. 
معاون وزير امور اقتصادي و دارايي با تاكيد بر اين نكته كه مفهوم نقدينگي بسيار 
گسترده تر از اسكناس مسكوك است گفت: انتشار قطع جديدي از اسكناس الزاما ربطي به 
تورم ندارد. 
وي در توضيح دلايل دولت براي انتشار اسكناس دوهزار توماني اظهار داشت: اقتصاد 
ايران در شرايطي است كه نرخ تورم روندي كاهنده به خود گرفته است، نرخ تورم در سال 
/11 4گذشته درصد و در سال 79 /12 6معادل درصد بوده است در صورتي كه ميانگين نرخ 
تورم در طول برنامه دوم به طور متوسط به 25 درصد رسيد. 
وي گفت: درحال حاضر روند كاهنده نرخ تورم انتظارات تورمي را از جهت كاهشي برخوردار 
كرده ضمن اين كه نرخ اسمي ارز نيز باثبات مواجه است. علاوه بر اين در شرايطي 
هستيم كه كالاهايي مانند خودرو، سكه و ارز كه معمولا جانشين پول تلقي مي شدند 
باثبات قيمت همراه شده اند. 
خزاعي تاكيد كرد: اين شرايط انتظارات تورمي را تسكين داده است بنابراين زمان حاضر 
بهترين موقعيت براي انتشاريك اسكناس جديد پس از گذشت 30 سال از انتشار اسكناس 
يكهزار توماني است. 
وي با ارائه آمار مقايسه اي گفت: حجم نقدينگي در سال 1350سال انتشار اسكناس 
يك هزار توماني ميليارد 296 ريال بود كه اين رقم در پايان سال 1380 به 320 هزار 
ميليارد ريال رسيده يعني حجم نقدينگي در طول اين سال ها 1081 برابر شده است. 
وي ادامه داد: عدد شاخص قيمت ها در سال 1350 معادل يك اين بود شاخص در پايان سال 
 به 1380 لحاظ عددي به رقم 178 رسيد يعني قيمت ها در طول 30 سال گذشته 178 برابر 
شده توليد است ناخالص داخلي به قيمت جاري در سال 1350 معادل 835 ميليارد ريال بود 
كه درحال حاضر به 700 هزار ميليارد ريال رسيده است. يعني اين ميزان در طول دوره 
يادشده 838 برابر شده است. 
خزاعي توضيح داد: توليد ناخالص داخلي به قيمت جاري نشان دهنده حجم مبادلاتي است كه 
مردم با هم دارند شما توقع داريد اسكناس هزار توماني كه 30 سال پيش وسيله مبادله 
بوده امروز و در شرايطي كه گفته شد بازهم وسيله مبادله باشد و اصلا دچار تحول 
؟ نشود
وي گفت: نرخ برابري ريال با دلار از سال 1350 به اين سو حدود 114 برابر شده است. 
در واقع اين متغيرها هستند كه تعيين مي كنند قطع اسكناس هاي رايج در كشور چقدر 
بايد باشد. براساس متغيرهاي يادشده قطع اسكناس هاي موجود بايد تغيير كند. 
"
Economy,"
تغييرات قيمت سهام در بورس تهران 
گروه اقتصادي: ديروز در بورس تهران نزديك به يك ميليون و 
 هزار 600 سهم به ارزش بيش از پنج ميليارد و 877 ميليون 
ريال داد و ستد شد. 
ديروز شاخص كل قيمت سهام /1 17با واحد افزايش /1715 84به 
واحد رسيد قيمت سهام 32 شركت بالا رفت 23 شركت كاهش 
يافت و سهام 23 شركت بدون تغيير باقي ماند. تغييرات قيمت 
سهام در جدول آمده است (قيمت ها به ريال است ):
 تغييرقيمت 
 آخرين قيمت 
 تعدادسهام معامله شده 
 نام شركت 
 - 54 
 2114 
 5431 
 تامين ماسه ريخته گري 
 237 
 7000 
 25980 
 شيشه قزوين 
 2 
 5533 
 6640 
 پارس سرام 
 - 1 
 5499 
 28250 
 چيني ايران 
 - 33 
 4070 
 25171 
 سيمان تهران 
 159 
 3358 
 1973 
 سيمان كرمان 
 - 8 
 3382 
 3651 
 سيمان فارس وخوزستان 
 - 1 
 1635 
 485 
 سيمان شرق 
 73 
 1546 
 3200 
 كشت وصنعت چين چين 
 1 
 2081 
 10000 
 توليدي مهرام 
 - 1 
 5299 
 3513 
 روغن نباتي پارس 
 63 
 4700 
 19201 
 مارگارين 
 144 
 7060 
 27949 
 صنعتي بهشهر 
 10 
 2320 
 3041 
 بهپاك 
 - 9 
 5746 
 12920 
 روغن نباتي ناب 
 125 
 2642 
 1008 
 قند ثابت خراسان 
 188 
 3334 
 8487 
 قوچان وبجنورد قندشيروان، 
 250 
 10500 
 21181 
 پارس مينو 
 - 10 
 8490 
 2002 
 ساسان 
 2 
 2002 
 33960 
 شهد ايران 
 - 2 
 2928 
 84060 
 كربن ايران 
 - 49 
 2968 
 3943 
 پارس پامچال 
 105 
 2205 
 17571 
 صنعتي رنگين 
 - 10 
 4588 
 1246 
 كيميدارو 
 - 100 
 7200 
 19443 
 داروپخش 
 - 12 
 3548 
 2000 
 داروسازي كوثر 
 35 
 5970 
 1200 
 توليدارو 
 - 1 
 7800 
 61736 
 كف 
 2 
 4302 
 13272 
 پاكسان 
 81 
 6750 
 3100 
 الياف 
 5 
 2921 
 6800 
 پارسيلون 
 60 
 3670 
 69139 
 درخشان تهران 
 28 
 3678 
 2566 
 كارخانجات توليدي تهران 
 19 
 2237 
 2264 
 حق تقدم توليدي تهران 
 37 
 7650 
 72237 
 آلومينيم پارس 
 - 10 
 5289 
 1077 
 صنعتي آما 
 24 
 7803 
 778 
 لاميران 
 50 
 2950 
 7080 
 بسته بندي ايران 
 - 1100 
 1900 
 1000 
 بسته بندي مشهد 
 39 
 3295 
 3992 
 مس شهيدباهنر 
 - 41 
 3800 
 2900 
 سرماآفرين 
 - 10 
 1445 
 7373 
 آبسال 
 1 
 10757 
 590 
 پارس خزر 
 5 
 7456 
 1573 
 كابل البرز 
 56 
 1183 
 920 
 كابل تك 
 8 
 4908 
 306 
 قوه پارس 
 - 100 
 4700 
 6950 
 كارخانجات صنعتي پيام 
 15 
 2836 
 27501 
 گروه بهمن 
 - 20 
 1280 
 700 
 نيرو محركه 
 5 
 1406 
 85990 
 سرمايه گذاري ملي ايران 
 1 
 1134 
 30000 
 سرمايه گذاري غدير 
 1 
 2813 
 53922 
 سرمايه گذاري البرز 
 - 12 
 1136 
 135392 
 سرمايه گذاري پتروشيمي 
 - 50 
 2090 
 36522 
 سرمايه گذاري رنا 
 - 109 
 59000 
 4188 
 سرمايه گذاري پارس توشه 
"
Economy,"
بهره برداري از طرح توسعه شركت 
سرمايه گذاري پتروشيمي 
گروه اقتصادي: بخش نخست طرح توسعه شركت هگزان شيمي 
وابسته به شركت سرمايه گذاري صنايع پتروشيمي شامل خودكار 
كردن مراحل توليد و افزايش ظرفيت به دو برابر و اخذ 
استاندارد از موسسه استاندارد و تحقيقات صنعتي ايران 
براي همه محصولات و رعايت اصول بهداشتي در تالارهاي 
توليد به دليل حساسيت محصولات براي اخذ گواهي نامه ايزو 
 هزار 9 افتتاح شد. 
بخش دوم طرح شامل افزايش ظرفيت تا 50 درصد كه شامل 
افزايش حجم توليد محصولات فعلي و افزايش تنوع محصولات 
بهداشتي و شوينده است، دهه فجر سال جاري به بهره برداري 
مي رسد. 
بخش سوم برنامه شامل افزايش ظرفيت از طريق احداث تالار 
جديد توليد و تجهيز كارخانه به ماشين آلات جديد كه در 
حال حمل است در حال برنامه ريزي و اجراست كه اميدواريم 
در سه ماهه نخست سال 1378 به بهره برداري برسد. در اين 
مرحله محصولات جديدي نظير شامپو فرش، پودر رختشويي، 
 خميردندان، صابون جامد و نرم كننده مو در سبد محصولات 
شركت قرار مي گيرد. 
اين شركت همچنين طرح تغيير ساختار مالي شركت، كاهش هزينه 
و تعديل نيروي انساني را دارد كه در اين راستا نزديك به 
 درصد 54 كاهش نيرو داشته است. اين اقدام توام با افزايش 
ظرفيت توليد و كاهش سربار و در نتيجه كاهش قيمت تمام شده 
اثرات مثبت در سال مالي جاري خواهد داشت. 
"
Economy,"
كالا برگ قند و شكر سهميه يارانه تعادلي 
شهري 
كالابرگ شماره 288 از سري كالابرگهاي مرحله يازدهم 
شهري براي دريافت سهميه قند و شكر يارانه تعادلي 
اختصاص يافت. 
به گزارش روابط عمومي ستاد بسيج اقتصادي، سهميه 
قند وشكر براي هر نفركالابرگ 1200 گرم و به قيمت هر 
كالابرگ يك نفره 1080 ريال تعيين شده است. 
كالابرگ يادشده براي مصرف كنندگان تا ظهر يكشنبه 
 فروردين 19 ماه 80 و براي عاملان فروش جهت تحويل 
كالابرگهاي دريافتي به شعب بانك صادرات تا پايان 
وقت مقرر شعب دريافت كننده كالابرگ در همان روز، 
اعتبار دارد. 
"
Economy,"
شل شركت نفتي انترپرايز را خريداري كرد 
غول نفتي اروپا رويال داچ شل اعلام كرد كه شركت نفتي 
انترپرايز انگليس را به قيمت 5 ميليون دلار خريداري كرده 
است. 
سخنگوي شل اعلام كرد كه خريد اين شركت نفت انگليسي منافع 
شل را در فعاليت هاي بالادستي صنعت نفت بويژه در حوزه 
نفتي درياي شمال در اروپا افزايش مي دهد. 
"
Economy,"
رئيس كميسيون صنايع: نرخ شماره گذاري 
خودروها تا 20 برابر افزايش مي يابد 
 تهران - خبرگزاري جمهوري اسلامي: رئيس كميسيون صنايع و معادن مجلس شوراي 
اسلامي روز يكشنبه اعلام كرد: نرخ شماره گذاري انواع خودرو در سال آينده تا 20 
برابر افزايش مي يابد. 
مهندس سيدرضا نوروززاده در گفتگو با خبرنگار امور مجلس ايرنا گفت: افزايش نرخ 
شماره گذاري خودروها بر اساس قانون جديد تجميع عوارض كالاها و خدمات صورت مي گيرد. 
در اين قانون كه آذرماه گذشته پس از بررسي در چند نشست علني مجلس به تصويب 
نهايي رسيد و امروز مورد تاييد شوراي نگهبان قرار گرفت، مقرر شده است مبلغ 
شماره گذاري انواع خودروهاي سواري و وانت دوكابين اعم از توليد داخل و وارداتي 
از ابتداي سال 1382 سه درصد قيمت فروش آنها باشد. 
رئيس كميسيون صنايع و معادن گفت: بااجراي اين قانون، نرخ شماره گذاري انواع 
خودرو كه در حال حاضر 600 هزار ريال است از ابتداي سال آينده براي هر دستگاه 
پيكان به نزديك دو ميليون ريال هر دستگاه خودرو پژو 405 به سه ميليون و 600 
هزار ريال و هر دستگاه خودرو ماكسيما به 12 ميليون ريال و براي ساير انواع 
خودروها نيز به تناسب قيمت آنها افزايش خواهد يافت. 
نوروز زاده تصريح كرد: قانون تجميع عوارض كالاها و خدمات در عمل نه تنها 
خودروها را ارزان نخواهد كرد بلكه قيمت آن را در برخي زمينه ها از جمله 
شماره گذاري افزايش مي دهد. 
نماينده اسفراين گفت: اين قانون، تعرفه انواع كالاهاي وارداتي از جمله خودرو 
را 4 درصد تعيين كرده اما تعيين سود بازرگاني آن را به دولت واگذاركرده است 
از اين رو تعيين قيمت خودروهاي خارجي و واردات آن در سال آينده برعهده دولت 
است. 
وي با اشاره به برنامه توليد 700 هزار دستگاه خودرو در سال آينده در كشور گفت 
كه اين ميزان توليد به كاهش هزينه تمام شده توليد خودرو و در نتيجه كاهش 
قيمت آن منجر مي شود اما با توجه به نرخ 15 درصدي سالانه تورم نبايد انتظار 
داشت قيمت خودرو پايين تر از نرخ آن در سال جاري باشد. 
رئيس كميسيون صنايع و معادن درباره تفاوت قيمت خودروهاي توليدي ايران در 
داخل و خارج از كشور اظهارداشت: تمامي كشورهاي دنيا براي خودروهاي خود دو نرخ 
داخلي و صادراتي دارند كه نرخ صادراتي آن 50 درصد پايين تر از قيمت فروش داخل 
كشور آنها است. 
"
Economy,"
براساس آخرين گزارش صندوق بين المللي پول 
چشم انداز روشن تري فراروي اقتصاد جهان 
قرار دارد 
واحد رسانه هاي خارجي همشهري: صندوق بين المللي پول در 
تازه ترين گزارش خود درباره چشم انداز اقتصاد جهان، 
دورنماي روشني از اقتصاد جهان ترسيم كرده اين است صندوق 
هر سال دو بار با انتشار گزارشي درباره وضعيت رشد اقتصاد 
 جهان، مناطق و كشورهاي مختلف سمت و سوي شاخص هاي اقتصادي 
و جهت گيري كلي آن را نشان مي دهد. 
در گزارش شش ماهه دوم امسال كه روز چهارشنبه گذشته منتشر 
شد نرخ رشد اقتصاد جهان در سال جاري ميلادي 3 درصد و در 
سال /3 5آينده درصد پيش بيني شده اين است در حالي است 
كه در گزارش قبلي اين صندوق كه اواخر سال 77 منتشر شد 
نرخ رشد اقتصاد جهان براي سال /2 3جاري درصد و براي سال 
 4/3 2000 رقم دهم درصد پيش بيني شده بود. 
دليل بهبود وضعيت اقتصاد جهان پايان بحران اقتصادي و 
مالي كه از دو سال گذشته كشورهاي شرق آسيا و سپس روسيه و 
برزيل را فرا گرفته بود اعلام شده است. 
پيش بيني جديد صندوق بين المللي پول براي نرخ رشد 
اقتصادي قاره آسيا /5 3امسال درصد است كه نسبت /4 7به 
درصد پيش بيني شده در گزارش ماه آوريل 6 دهم 
درصد افزايش نشان مي دهد. براساس گزارش تازه صندوق نرخ 
رشد اقتصادي قاره آسيا در سال 2000 /5 4رقم درصد خواهد 
بود كه نسبت به پيش بيني شش ماه قبل 3 دهم درصد كاهش 
نشان مي دهد. 
صندوق بين المللي پول همچنين نرخ رشد اقتصادي آمريكاي 
لاتين را امسال يك دهم درصد و سال 2000 /3 9رقم درصد 
اعلام كرده است. در پيش بيني قبلي نرخ رشد آمريكاي لاتين 
در سال جاري منفي و در سال 2000 /3 5رقم درصد اعلام شده 
بود. 
براي اقتصاد روسيه نيز گزارش جديد صندوق بين المللي پول 
امسال هيچگونه رشدي پيش بيني نكرده اما در سال 2000 نرخ 
 درصد 2 را در نظر گرفته است. البته صندوق مزبور اعلام 
كرده روسيه براي نيل به اين رشد بايد چالشهاي زيادي را 
پشت سر بگذارد. 
همچنين صندوق بين المللي پول نرخ رشد اقتصاد آمريكا براي 
سال جاري /3 7را درصد اعلام كرده كه نسبت به پيش بيني 
ماه آوريل 4 دهم درصد افزايش نشان اين مي دهد صندوق 
خاطرنشان كرده است چنانچه اين پيش بيني درباره اقتصاد 
آمريكا به وقوع پيوندد در ماه فوريه آينده اقتصاد اين 
كشور در بالاترين مرحله رشد از اواسط قرن نوزدهم تاكنون 
قرار خواهد گرفت. با اين وجود صندوق احتمال توقف ناگهاني 
رشد اقتصاد آمريكا تحت تاثير عواملي همچون تنزل ناگهاني 
ارزش دلار و يا سقوط ارزش سهام در بازار بورس وال استريت 
را نيز منتفي ندانسته است. 
از سوي ديگر صندوق بين المللي پول اعلام كرده است كه در 
پنجاه و چهارمين نشست مشترك سالانه صندوق بين المللي پول 
و بانك جهاني كه از امروز به مدت پنج روز در واشنگتن 
برگزار مي شود مسئله بخشش 70 ميليارد دلار از مجموع 
 ميليارد 214 دلار بدهي خارجي 40 كشور فقير جهان كه 
 عمدتا در آفريقا قرار دارند را مورد بررسي قرار خواهد 
 داد. به همين منظور قرار است 14 ميليون اونس از ذخاير 
طلاي صندوق بين المللي پول كه ارزش رسمي هر اونس آن 47 
دلار است براساس ارزش جاري بازار كه هر اونس حدود 255 
دلار است مجدد ارزيابي شود و پول حاصل از اين امر به 
بخشش بدهيهاي ياد شده اختصاص يابد. 
صندوق بين المللي پول همچنين از آمريكا و ساير قدرتهاي 
بزرگ تجاري جهان درخواست كرده است تا با فشارهاي 
حمايتگرانه مخالفت كنند و در دور جديد مذاكرات تجارت 
جهاني كه از ماه آينده با حضور 134 كشور عضو سازمان 
تجارت جهاني در شهر سياتل آمريكا آغاز مي شود كشورهاي 
فقير جهان را نيز به طور جدي مشاركت دهند و به ديدگاههاي 
آنها توجه نمايند تا رشد متوازن و پايدار اقتصاد جهان 
حاصل شود. اين دور مذاكرات تجارت جهاني سه سال طول خواهد 
كشيد و در آن درباره اصلاحات تجاري و حذف تعرفه هاي 
بازرگاني در بخشهاي كشاورزي، صنعت و خدمات مورد بررسي 
قرار خواهد گرفت. 
"
Economy,"
قرارداد 197 ميليون دلاري ايران و فرانسه 
گروه اقتصادي: شركت مهندسي آلستوم فرانسه روز پنج شنبه اعلام كرد: در يك مناقصه براي 
تحويل شش توربين گازي توليد برق با ظرفيت 900 مگاوات به ايران برنده شده است. 
به گزارش خبرگزاري اين فرانسه شركت اعلام كرد ارزش اين قرارداد197 
ميليون دلار است. براساس اين اين گزارش، توربين هاقرار است در نيروگاهي در 
بندرعباس نصب شود كه طبق برنامه ريزي انجام شده در سال 2004 به بهره برداري مي رسد. 
"
